,20200214,20200213,20200212,20200211,20200210,20200209,20200208,20200207,20200206,20200205,20200204,20200203,20200202,20200201,20200131,20200130,20200129,20200128,20200127,20200126,20200125,20200124,20200123,20200122,20200121,20200120,20200119,20200118,20200117,20200116,20200115,20200114,20200113,20200112,case
邯郸市,0,0,2,2,0,0,1,4,4,4,0,3,0,1,3,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,31
桂林市,0,0,0,1,0,1,0,1,1,1,2,0,1,2,3,0,2,1,1,3,5,4,2,0,0,0,0,0,0,0,0,0,0,0,31
芜湖,0,0,0,0,1,1,0,2,1,3,2,5,0,1,1,0,3,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,31
洛阳市,1,0,1,1,1,2,0,1,3,4,5,5,0,2,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31
焦作市,1,0,1,0,3,1,4,2,1,2,3,4,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
广安市,0,0,0,0,2,0,0,1,3,0,0,19,-15,4,3,4,2,0,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,30
廊坊市,0,0,1,2,2,2,2,5,1,1,1,0,1,0,2,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
淄博市,0,5,3,1,3,0,1,0,1,0,2,0,0,2,2,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28
沈阳市,0,0,1,1,0,0,1,2,0,5,3,-2,1,3,3,1,1,1,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,28
铜陵,0,0,1,0,2,1,1,1,2,1,0,1,2,0,2,4,1,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28
盐城市,1,1,4,3,0,1,0,1,0,1,0,0,0,2,5,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27
石家庄市,0,0,0,0,2,1,0,0,0,3,0,5,3,1,1,0,1,1,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,27
吴忠市,2,3,3,4,2,3,1,0,1,1,0,0,0,1,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
淮北,1,0,1,0,1,0,1,0,5,3,3,3,2,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26
宁德市,0,0,1,0,0,1,2,5,0,2,2,0,3,0,0,1,1,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,25
汕头市,0,0,0,0,0,0,0,3,2,0,2,1,3,0,2,0,6,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25
