city_code,city,name,reduction,prot_interval_50,prot_interval_100,reduction_interval
410200,开封市,Kaifeng,-1.322380652,"-0.22(-0.42, -0.09)","-0.22(-0.43, -0.08)","-1(-3, 0)"
610400,咸阳市,Xianyang,-0.952539315,"-0.24(-0.45, -0.06)","-0.24(-0.49, -0.04)","-1(-2, 0)"
610500,渭南市,Weinan,-0.724466785,"-0.18(-0.39, 0.0)","-0.18(-0.43, 0.03)","-1(-2, 0)"
440900,茂名市,Maoming,-0.965121846,"-0.32(-0.63, 0.01)","-0.32(-0.67, 0.03)","-1(-2, 0)"
150200,包头市,Baotou,-0.605156002,"-0.2(-0.52, 0.17)","-0.2(-0.56, 0.2)","-1(-2, 1)"
513400,凉山彝族自治州,Liangshan,-0.667980985,"-0.22(-0.53, 0.14)","-0.22(-0.58, 0.17)","-1(-2, 1)"
469023,澄迈县,Chengmai,-1.46415808,"-0.73(-1.21, -0.13)","-0.73(-1.27, -0.11)","-1(-3, 0)"
140400,长治市,Changzhi,-1.29817208,"-0.43(-0.73, -0.15)","-0.43(-0.77, -0.12)","-1(-2, 0)"
150800,巴彦淖尔市,Bayannur,-1.19816184,"-0.6(-1.09, 0.06)","-0.6(-1.15, 0.07)","-1(-2, 0)"
131100,衡水市,Hengshui,-0.513327816,"-0.13(-0.35, 0.07)","-0.13(-0.38, 0.09)","-1(-2, 0)"
511800,雅安市,Yaan,-1.307477346,"-0.65(-1.15, -0.02)","-0.65(-1.2, -0.0)","-1(-2, 0)"
140600,朔州市,Shuozhou,-0.685577963,"-0.23(-0.54, 0.13)","-0.23(-0.58, 0.16)","-1(-2, 0)"
211200,铁岭市,Tieling,-1.38931947,"-0.69(-1.18, -0.08)","-0.69(-1.23, -0.06)","-1(-2, 0)"
152500,锡林郭勒盟,Xilingol,-1.161296751,"-0.58(-1.08, 0.09)","-0.58(-1.14, 0.1)","-1(-2, 0)"
510800,广元市,Guangyuan,-1.372075821,"-0.69(-1.17, -0.07)","-0.69(-1.23, -0.05)","-1(-2, 0)"
450400,梧州市,Wuzhou,-0.887737673,"-0.3(-0.6, 0.04)","-0.3(-0.64, 0.07)","-1(-2, 0)"
222400,延边朝鲜族自治州,Yanbian,-1.265862693,"-0.63(-1.13, 0.02)","-0.63(-1.18, 0.03)","-1(-2, 0)"
640400,固原市,Guyuan,-1.350869733,"-0.68(-1.16, -0.05)","-0.68(-1.22, -0.03)","-1(-2, 0)"
150900,乌兰察布市,Ulanqab,-1.39133449,"-0.7(-1.18, -0.08)","-0.7(-1.23, -0.06)","-1(-2, 0)"
232700,大兴安岭地区,Daxinganling,-1.138320455,"-0.57(-1.07, 0.11)","-0.57(-1.13, 0.11)","-1(-2, 0)"
620700,张掖市,Zhangye,-1.344645817,"-0.67(-1.16, -0.05)","-0.67(-1.21, -0.03)","-1(-2, 0)"
230500,双鸭山市,Shuangyashan,-2.40770494,"-2.41(-3.38, -1.18)","-2.41(-3.48, -1.15)","-2(-3, -1)"
340600,淮北市,Huaibei,-2.262800364,"-1.13(-1.58, -0.69)","-1.13(-1.64, -0.65)","-2(-3, -1)"
350700,南平市,Nanping,-1.528833826,"-0.51(-0.8, -0.24)","-0.51(-0.84, -0.22)","-2(-3, -1)"
140100,太原市,Taiyuan,-2.254493919,"-0.75(-1.04, -0.53)","-0.75(-1.07, -0.5)","-2(-3, -1)"
341700,池州市,Chizhou,-1.683039061,"-0.56(-0.84, -0.31)","-0.56(-0.89, -0.28)","-2(-3, -1)"
220300,四平市,Siping,-2.409130165,"-2.41(-3.38, -1.18)","-2.41(-3.48, -1.15)","-2(-3, -1)"
510400,攀枝花市,Panzhihua,-2.264454985,"-2.26(-3.25, -0.97)","-2.26(-3.36, -0.94)","-2(-3, -1)"
341100,滁州市,Chuzhou,-2.01711179,"-0.67(-0.95, -0.44)","-0.67(-1.0, -0.41)","-2(-3, -1)"
231000,牡丹江市,Mudanjiang,-2.323264432,"-2.32(-3.31, -1.06)","-2.32(-3.41, -1.02)","-2(-3, -1)"
620500,天水市,Tianshui,-2.415114148,"-1.21(-1.65, -0.79)","-1.21(-1.71, -0.75)","-2(-3, -2)"
321100,镇江市,Zhenjiang,-2.356643525,"-1.18(-1.63, -0.76)","-1.18(-1.68, -0.71)","-2(-3, -1)"
621100,定西市,Dingxi,-1.770103314,"-0.89(-1.35, -0.36)","-0.89(-1.41, -0.32)","-2(-3, -1)"
511400,眉山市,Meishan,-1.831787296,"-0.92(-1.37, -0.4)","-0.92(-1.43, -0.36)","-2(-3, -1)"
450700,钦州市,Qinzhou,-2.470785273,"-2.47(-3.43, -1.27)","-2.47(-3.54, -1.24)","-2(-4, -1)"
130800,承德市,Chengde,-1.550075539,"-0.78(-1.25, -0.19)","-0.78(-1.31, -0.17)","-2(-3, 0)"
469026,昌江黎族自治县,Changjiang,-2.159590176,"-2.16(-3.16, -0.82)","-2.16(-3.28, -0.8)","-2(-3, -1)"
150400,赤峰市,Chifeng,-1.91480381,"-0.96(-1.42, -0.46)","-0.96(-1.48, -0.42)","-2(-3, -1)"
611000,商洛市,Shangluo,-1.892717955,"-0.95(-1.4, -0.44)","-0.95(-1.47, -0.41)","-2(-3, -1)"
150100,呼和浩特市,Huhehaote,-1.806709905,"-0.9(-1.36, -0.38)","-0.9(-1.42, -0.34)","-2(-3, -1)"
150500,通辽市,Tongliao,-2.205347765,"-2.21(-3.19, -0.88)","-2.21(-3.31, -0.87)","-2(-3, -1)"
150700,呼伦贝尔市,Hulunbuir,-2.315089129,"-2.32(-3.3, -1.04)","-2.32(-3.4, -1.01)","-2(-3, -1)"
360200,景德镇市,Jingdezhen,-1.832645122,"-0.61(-0.89, -0.37)","-0.61(-0.94, -0.35)","-2(-3, -1)"
220200,吉林市,Jilin,-1.813872704,"-0.91(-1.37, -0.39)","-0.91(-1.43, -0.35)","-2(-3, -1)"
230400,鹤岗市,Hegang,-2.209509176,"-2.21(-3.2, -0.89)","-2.21(-3.32, -0.88)","-2(-3, -1)"
522300,黔西南布依族苗族自治州,Qianxinan,-2.491938677,"-2.49(-3.45, -1.3)","-2.49(-3.56, -1.26)","-2(-4, -1)"
140300,阳泉市,Yangquan,-2.482464455,"-2.48(-3.44, -1.29)","-2.48(-3.55, -1.25)","-2(-4, -1)"
659001,石河子市,Shihezi,-2.24182805,"-2.24(-3.23, -0.93)","-2.24(-3.34, -0.92)","-2(-3, -1)"
451000,百色市,Baise,-2.207019035,"-2.21(-3.2, -0.89)","-2.21(-3.32, -0.87)","-2(-3, -1)"
640500,中卫市,Zhongwei,-2.239900883,"-2.24(-3.22, -0.93)","-2.24(-3.34, -0.92)","-2(-3, -1)"
211000,辽阳市,Liaoyang,-2.203207807,"-2.2(-3.19, -0.88)","-2.2(-3.31, -0.87)","-2(-3, -1)"
220500,通化市,Tonghua,-2.389511598,"-2.39(-3.36, -1.16)","-2.39(-3.47, -1.12)","-2(-3, -1)"
441600,河源市,Heyuan,-2.406081155,"-2.41(-3.38, -1.18)","-2.41(-3.48, -1.15)","-2(-3, -1)"
469007,东方市,Dongfang,-2.205405376,"-2.21(-3.19, -0.88)","-2.21(-3.31, -0.87)","-2(-3, -1)"
610800,榆林市,Yulin,-2.29074344,"-2.29(-3.28, -1.01)","-2.29(-3.38, -0.97)","-2(-3, -1)"
469021,定安县,Dingan,-2.243630279,"-2.24(-3.23, -0.93)","-2.24(-3.34, -0.92)","-2(-3, -1)"
511100,乐山市,Leshan,-2.023659112,"-1.01(-1.47, -0.53)","-1.01(-1.52, -0.5)","-2(-3, -1)"
512000,资阳市,Ziyang,-1.640569866,"-0.82(-1.29, -0.27)","-0.82(-1.35, -0.23)","-2(-3, 0)"
